Local Health Integration Network (LHIN),Home Administrator,Licensee,Management Firm,Home Type,Licensed Beds,Approved Short Stay Beds,Residents’ Council,Family Council,Accreditation,Home Designated Under French Language Services Act,Additional Information,Telephone
Mississauga Halton, MS BELISHA KE  ,Tyndall Nursing Home Limited,,For-Profit,Home with approximately 151 beds,No,Yes,No,Yes,No,,(905) 624-1511
Central, MS SANDY LOMASZEWYCZ  ,St. Demetrius (Ukrainian Catholic) Development Corporation,,Non-Profit,Home with approximately 152 beds,No,Yes,Yes,Yes,No,,(416) 243-7653
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), MR WALTER SGUAZZIN  ,United Mennonite Home For The Aged,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,No,No,,(905) 562-7385
Hamilton Niagara Haldimand Brant (Hnhb), MS MARGARET LAMBERT  ,The Regional Municipality Of Niagara,,Municipal,Home with approximately 80 beds,No,Yes,Yes,Yes,No,,(905) 468-4208
Champlain, MS TRISHA SAMMON  ,Valley Manor Inc.,,Non-Profit,Home with approximately 90 beds,No,Yes,No,Yes,No,,(613) 756-2643
Hamilton Niagara Haldimand Brant (Hnhb), MS CINDY HARBRIDGE  ,955464 Ontario Limited,,For-Profit,Home with approximately 65 beds,Yes,Yes,Yes,Yes,No,,(905) 358-3277
South West, MR MICHAEL CARROLL  ,The Corporation Of The City Of St. Thomas,,Municipal,Home with approximately 136 beds,Yes,Yes,Yes,Yes,No,,(519) 631-1030
Central, MS ELIZABETH BRYCE  ,Advent Health Care Corporation,,Non-Profit,Home with approximately 174 beds,No,Yes,No,No,No,,(416) 398-0555
Central West, MS LIEZLE TRINIDAD  ,Peel Housing Corporation,,Non-Profit,Home with approximately 64 beds,No,Yes,No,Yes,No,,(905) 791-7800
Toronto Central, MS ABIOLA AWOSANYA  ,Vermont Square Ltc Inc. As General Partner Of Vermont Square Ltc Limited Partnership,Responsive Health Management,For-Profit,Home with approximately 130 beds,Yes,Yes,Yes,Yes,No,,(416) 533-9473
Hamilton Niagara Haldimand Brant (Hnhb), MS RANKA STIPANCIC  ,Mirdem Nursing Homes Ltd.,,For-Profit,Home with approximately 76 beds,No,Yes,Yes,Yes,No,,(905) 527-9111
Central East, MS PAMELA KULAS  ,The Corporation Of The City Of Kawartha Lakes,Sienna Senior Living,Municipal,Home with approximately 166 beds,Yes,Yes,Yes,Yes,No,,(705) 324-3558
North Simcoe Muskoka, MR BILL KREVER  ,Victoria Village Inc.,Specialty Care Inc.,Non-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,No,,(705) 728-3456
,,,,,,,,,,,,
Central, Ms Fiorinta Flammia  ,Villa Colombo Seniors Centre (Vaughan) Inc.,Universalcare Canada Inc.,Non-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(289) 202-2222
Mississauga Halton, MS CELIA LISI  ,Villa Forum,Chartwell Seniors Housing Reit,Non-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 501-1443
Central, Ms Sonia Roul  ,Friuli Long Term Care,Specialty Care Inc.,Non-Profit,Home with approximately 168 beds,Yes,Yes,Yes,Yes,No,,(905) 856-3939
Champlain, MS CATHY CUCCARO  ,Villa Marconi Long Term Care Center,"Diversicare Canada Management Services Co., Inc.",Non-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(613) 727-6201
North East, MR PAUL CHATELAIN  ,The Lady Minto Hospital At Cochrane,,Non-Profit,Home with approximately 33 beds,No,Yes,Yes,Yes,Yes,,(705) 272-7200
Erie St. Clair, Mr Jim Eagleton  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 40 beds,No,Yes,Yes,Yes,No,,(519) 674-5427
Erie St. Clair, MS VIRGINNIA BRIGHT  ,Vision '74 Inc.,,Non-Profit,Home with approximately 146 beds,Yes,Yes,Yes,Yes,No,,(519) 336-6551
Central East, MS LISA ALLANSON  ,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 60 beds,Yes,Yes,No,Yes,No,,(705) 924-2311
North East, Mr. Hoss Notarkesh  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 148 beds,No,Yes,Yes,Yes,No,,(705) 476-2602
Erie St. Clair, MS TANYA MCGILL  ,Qcc Corp.,,For-Profit,Home with approximately 63 beds,Yes,Yes,Yes,Yes,No,,(519) 876-2520
Toronto Central, MS SUE GRAHAM-NUTTER  ,Drs. Paul And John Rekai Centre,,Non-Profit,Home with approximately 150 beds,Yes,Yes,Yes,Yes,No,,(416) 929-9385
South East, MS JULIE STRESKA  ,"Arch Long Term Care Lp By Its General Partner, Arch Long Term Care Mgp, By Its Partners, Arch Long Term Care Gp Inc. And Arch Capital Management Corporation",Universalcare Canada Inc.,For-Profit,Home with approximately 60 beds,No,Yes,Yes,No,No,,(613) 925-2834
Hamilton Niagara Haldimand Brant (Hnhb), MS MARIA CLARKE  ,Rykka Care Centres Lp,,For-Profit,Home with approximately 132 beds,Yes,Yes,Yes,Yes,No,,(905) 637-3481
Waterloo Wellington, MS SUE DRONIK  ,Corporation Of The County Of Wellington,,Municipal,Home with approximately 176 beds,No,Yes,Yes,No,No,,(519) 846-5359
Hamilton Niagara Haldimand Brant (Hnhb), MS  KAREN ALLCROFT (A)  ,City Of Hamilton,,Municipal,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 546-2618
Mississauga Halton, MS RAMONA NESMERAK  ,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 192 beds,Yes,Yes,Yes,Yes,No,,(416) 394-3600
South East, MS JACKIE MAXWELL  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 47 beds,No,Yes,No,Yes,No,,(613) 393-2055
Mississauga Halton, MIDE SEYI-AJAYI  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 133 beds,No,Yes,Yes,Yes,No,,(905) 469-3294
Hamilton Niagara Haldimand Brant (Hnhb), MR DAN SEMENUK  ,Cvh (No.1) Lp,Extendicare (Canada) Inc.,For-Profit,Home with approximately 101 beds,Yes,Yes,Yes,Yes,No,,(905) 688-1031
Toronto Central, MR. MATT LAMB  ,West Park Healthcare Centre,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 200 beds,Yes,Yes,Yes,Yes,No,,(416) 614-9494
South East, MS CARRIE DELINE  ,Crown Ridge Health Care Services Inc.,,For-Profit,Home with approximately 88 beds,Yes,Yes,Yes,Yes,No,,(613) 966-1323
South West, MS ANGIE HEINZ  ,Steeves & Rozema Enterprises Limited,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(519) 472-6424
Central, MR JOHN SEEBACH  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 224 beds,No,Yes,Yes,Yes,No,,(416) 243-8879
Central West, MS STEPHANIE KARAPITA  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 242 beds,Yes,Yes,Yes,Yes,No,,(416) 745-4800
North East, MS CHERYL OSAWABINE-PELTIER  ,Wikwemikong Nursing Home Limited,,Non-Profit,Home with approximately 59 beds,Yes,Yes,No,Yes,No,,(705) 859-3107
South West, MR SCOTT WALSH  ,Wildwood Care Centre Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,No,,(519) 284-3628
North West, MR ADAM BROWN  ,North Of Superior Healthcare Group,,Non-Profit,Home with approximately 22 beds,No,Yes,Yes,Yes,No,,rue
North West, MS CYNTHIA DWYER  ,Sioux Lookout Meno-ya-win Health Centre,,Non-Profit,Home with approximately 20 beds,No,Yes,No,Yes,No,,(807) 737-2877
Central East, TERRY PILGRIM  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 110 beds,Yes,Yes,Yes,Yes,No,,(905) 426-6296
Central West, MS CAROL OIS  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 224 beds,No,Yes,Yes,Yes,No,,(905) 856-7200
Central West, MS DEBBIE MCINTOSH  ,Specialty Care / Woodhall Park Inc.,,For-Profit,Home with approximately 147 beds,No,Yes,Yes,Yes,No,,(905) 495-4695
South West, MR MARK DAGER (A)  ,County Of Oxford,,Municipal,Home with approximately 34 beds,No,Yes,No,No,No,,(519) 485-7053
South West, Ms Jen Healey  ,County Of Oxford,,Municipal,Home with approximately 34 beds,Yes,Yes,Yes,No,No,,(519) 688-4874
South West, MR MARK DAGER  ,County Of Oxford,,Municipal,Home with approximately 160 beds,Yes,Yes,No,No,No,,(519) 421-5556
Champlain, MS JANNA SABOURIN  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 119 beds,No,Yes,Yes,Yes,No,,(613) 534-2276
North Simcoe Muskoka, MS CATHY COTTON  ,Woods Park Care Centre Inc.,,For-Profit,Home with approximately 123 beds,Yes,Yes,Yes,Yes,No,,(705) 739-6881
Mississauga Halton, MS Rachelle Cuaresma-Canlas  ,Halton Healthcare Ltc Inc.,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(905) 849-7766
Central, MS AMY GO  ,Yee Hong Centre For Geriatric Care,,Non-Profit,Home with approximately 200 beds,Yes,Yes,Yes,Yes,No,,(905) 471-3232
Mississauga Halton, MS CHAU NHIEU-VI  ,Yee Hong Centre For Geriatric Care,,Non-Profit,Home with approximately 200 beds,Yes,Yes,Yes,Yes,No,,(905) 568-0333
Central East, MS JANET CHEE  ,Yee Hong Centre For Geriatric Care,,Non-Profit,Home with approximately 250 beds,Yes,Yes,Yes,Yes,No,,(416) 321-3000
Central East, MR IVAN IP  ,Yee Hong Centre For Geriatric Care,,Non-Profit,Home with approximately 155 beds,Yes,Yes,Yes,Yes,No,,(416) 321-6333
Central, MR GAUTHAM MEKALA  ,The Regional Municipality Of York,,Municipal,Home with approximately 100 beds,Yes,Yes,Yes,Yes,No,,(905) 303-0133
Central, MS JULIE CASAERT  ,The Regional Municipality Of York,,Municipal,Home with approximately 132 beds,Yes,Yes,Yes,Yes,No,,(905) 895-2381
North East, MS SAMANTHA HIEBERT  ,Smooth Rock Falls Hospital,,Non-Profit,Home with approximately 20 beds,No,Yes,No,Yes,Yes,,(705) 338-2781
,,,,,,,,,,,,
South West, MS BRENDA OHM  ,Southampton Care Centre Inc.,,For-Profit,Home with approximately 88 beds,Yes,Yes,Yes,Yes,No,,(519) 797-3220
North West, MS. JULIANA JASON  ,"Cvh (No. 9) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",Extendicare (Canada) Inc.,For-Profit,Home with approximately 131 beds,No,Yes,Yes,Yes,No,,(807) 623-9511
North West, MR JONATHAN RIABOV  ,"Cvh (No. 9) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(807) 577-1127
North West, MS JOANNE LENT  ,"Cvh (No. 9) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 157 beds,No,Yes,Yes,Yes,No,,(807) 344-6929
Central, MS ANNE DEELSTRA  ,Southlake Residential Care Village,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 224 beds,No,Yes,Yes,Yes,No,,(905) 895-7661
North Simcoe Muskoka, MS TRACI VANGRINSVEN  ,Spencer House Inc.,2063414 Investment Lp,Non-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(705) 326-6609
Central East, MS MAUREEN KING  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 68 beds,No,Yes,Yes,Yes,No,,(705) 742-8811
South West, MR PETER BOLLAND  ,Spruce Lodge Home For The Aged,,Municipal,Home with approximately 128 beds,Yes,Yes,No,Yes,No,,(519) 271-4090
South West, MR DARREN MICALLAF  ,Sprucedale Care Centre Inc.,C.D. Micallef Consulting Services Inc.,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,No,,(519) 245-2808
Champlain, MS. DIANE DUPUIS  ,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 70 beds,No,Yes,Yes,Yes,Yes,,(613) 525-2022
Waterloo Wellington, MS MARY ALICE BARR  ,Steeves & Rozema Enterprises Limited,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(519) 620-9512
Toronto Central, VANDA COZIER  ,St. Clair O'connor Community Inc.,,Non-Profit,Home with approximately 25 beds,No,Yes,Yes,Yes,No,,(416) 757-8757
North East, MR RAY INGRISELLI  ,St. Joseph's Health Centre Of Sudbury,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,Yes,,(705) 590-2580
Toronto Central, MS NANCY DEVERA  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 238 beds,Yes,Yes,Yes,Yes,No,,(416) 967-3985
Champlain, MS GINETTE BEAUDIN  ,412506 Ontario Ltd.,,Non-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,No,,(613) 443-3442
Central East, MS CAROLYN RODD  ,St Joseph's At Fleming,,Non-Profit,Home with approximately 200 beds,No,Yes,Yes,Yes,No,,(705) 743-4744
,,,,,,,,,,,,
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), MR BIDAR SWAMY  ,St. Joseph's Health System,,Non-Profit,Home with approximately 205 beds,No,Yes,Yes,No,No,,(519) 751-7096
North East, MS CYNTHIA FARQUHAR  ,St. Joseph's General Hospital Elliot Lake,,Non-Profit,Home with approximately 64 beds,Yes,Yes,Yes,Yes,No,,(705) 848-1443
Hamilton Niagara Haldimand Brant (Hnhb), Ms Jaimie Williams  ,St. Joseph's Health System,,Non-Profit,Home with approximately 378 beds,Yes,Yes,Yes,Yes,No,,(905) 627-9011
North East, ROGER LEVEILLE  ,St. Joseph's Health Centre Of Sudbury,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(705) 674-4447
South East, MS CAROLYN ZACHARUK  ,"The Corporations Of The United Counties Of Leeds And Grenville, The City Of Brockville, The Town Of Gananoque And The Town Of Prescott",,Municipal,Home with approximately 224 beds,No,Yes,Yes,No,No,,(613) 345-0255
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), MS JENNIFER BANKS  ,St. Peter's Care Centres,,Non-Profit,Home with approximately 210 beds,No,Yes,Yes,Yes,No,,(905) 383-0448
North Simcoe Muskoka, Ms Carolyn McLeod  ,Stayner Care Centre Inc.,,For-Profit,Home with approximately 49 beds,No,Yes,No,No,No,,(705) 428-3614
Waterloo Wellington, MS CHERYL LAWRENCE-HOLMES  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 110 beds,No,Yes,Yes,Yes,No,,(519) 622-3434
South East, MS CHARMAINE JORDAN  ,Manorcare Partners,Eldercare Management & Consulting Corp.,For-Profit,Home with approximately 75 beds,No,Yes,No,Yes,No,,(613) 395-2596
Champlain, MS VANESSA LABRECQUE  ,Stoneridge Manor Operating Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,No,,(613) 257-4355
Waterloo Wellington, Ms Amanda Henbid  ,Sharon Farms & Enterprises Limited,,For-Profit,Home with approximately 88 beds,Yes,Yes,Yes,Yes,No,,(519) 323-2140
South West, MR BRENT KERWIN  ,The Corporation Of The County Of Middlesex,,Municipal,Home with approximately 160 beds,Yes,Yes,Yes,No,No,,(519) 245-2520
Central East, MS KYLIE SZCZEBONSKI  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 59 beds,No,Yes,No,Yes,No,,(905) 372-0163
Mississauga Halton, Ms Jennifer Lee  ,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 118 beds,No,Yes,Yes,Yes,No,,(905) 826-3045
Erie St. Clair, Mr Matthew Summerfield  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,No,,(519) 542-3421
South West, MS CINDIE HOLM  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 119 beds,No,Yes,Yes,Yes,No,,(519) 376-3212
Erie St. Clair, MS JAYNE BROOKS-KELLER  ,The Corporation Of The County Of Essex,,Municipal,Home with approximately 206 beds,No,Yes,Yes,No,No,,(519) 326-1215
Central East, MS CATHY MCGINN  ,Sunnycrest Nursing Homes Limited,,For-Profit,Home with approximately 136 beds,No,Yes,Yes,Yes,No,,(905) 576-0111
Waterloo Wellington, MS JULIE WHEELER  ,Regional Municipality Of Waterloo,,Municipal,Home with approximately 263 beds,Yes,Yes,Yes,Yes,No,,(519) 893-8482
North Simcoe Muskoka, MS MARTINA WYNIA  ,Corporation Of The County Of Simcoe,,Municipal,Home with approximately 150 beds,Yes,Yes,Yes,Yes,No,,(705) 445-4499
Toronto Central, MS KATHLEEN FRANCIS  ,Toronto Finnish-canadian Seniors Centre,,Non-Profit,Home with approximately 34 beds,No,Yes,Yes,No,No,,(416) 421-6719
Central West, MS JESSICA ALTENOR  ,The Regional Municipality Of Peel,,Municipal,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 791-7800
North East, Ms Tanya Schumacher  ,Corporation Of The Town Of Kirkland Lake,,Municipal,Home with approximately 81 beds,No,Yes,Yes,Yes,No,,(705) 567-3257
Hamilton Niagara Haldimand Brant (Hnhb), MS DARLEEN BARBER  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,Yes,No,,(519) 442-4411
North East, MS FRANCINE GOSSELIN  ,Jarlette Ltd.,,For-Profit,Home with approximately 82 beds,Yes,Yes,Yes,Yes,No,,(705) 672-2123
Central East, MR FRANCIS MARTIS  ,Tendercare Nursing Homes Limited,Extendicare (Canada) Inc.,For-Profit,Home with approximately 254 beds,No,Yes,No,Yes,No,,(416) 499-2020
South West, Ms Christine Leonard  ,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 100 beds,Yes,Yes,Yes,No,No,,(519) 773-9205
North East, MS. KAREN HILL  ,Chapleau Health Services,,Non-Profit,Home with approximately 18 beds,Yes,Yes,No,Yes,Yes,,(705) 864-1520
,,,,,,,,,,,,
South West, Ms Jordan Kannampuzha  ,Atk Care Inc.,,For-Profit,Home with approximately 33 beds,No,Yes,Yes,Yes,No,,(519) 335-3168
Champlain, MS JANNA HOTSON  ,Deep River And District Hospital,,Non-Profit,Home with approximately 14 beds,No,Yes,No,Yes,No,,(613) 584-3333
Champlain, MR ERIC HANNA  ,The Arnprior And District Memorial Hospital,,Non-Profit,Home with approximately 61 beds,Yes,Yes,Yes,Yes,No,,(613) 623-6547
Hamilton Niagara Haldimand Brant (Hnhb), MS ANGELA LOSTRITTO  ,Henley House Limited,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 937-9703
Toronto Central, MR JORDAN GLICK  ,Heritage Nursing Homes Inc.,,For-Profit,Home with approximately 201 beds,Yes,Yes,Yes,Yes,No,,(416) 461-8185
Toronto Central, MR SIMON AKINSULIE  ,The Jewish Home For The Aged,,Non-Profit,Home with approximately 472 beds,No,Yes,Yes,Yes,No,,(416) 785-2500
South East, MS ANGELA MALCOLM  ,County Of Lennox And Addington,,Municipal,Home with approximately 168 beds,Yes,Yes,Yes,Yes,No,,(613) 354-3306
Toronto Central, MR WILLIAM O'NEILL  ,The Kensington Health Centre,,Non-Profit,Home with approximately 350 beds,No,Yes,Yes,Yes,No,,(416) 963-9640
South West, MS JOAN HERGOTT  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 43 beds,No,Yes,Yes,Yes,No,,(519) 655-2344
Hamilton Niagara Haldimand Brant (Hnhb), MS TINA PADOVANI  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(905) 304-1993
Hamilton Niagara Haldimand Brant (Hnhb), Ms. Kerry Zahra  ,The Regional Municipality Of Niagara,,Municipal,Home with approximately 121 beds,No,Yes,Yes,Yes,No,,(905) 357-1911
Hamilton Niagara Haldimand Brant (Hnhb), MS KELLY ISSAN  ,The Norfolk Hospital Nursing Home,,Non-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,No,,(519) 429-6973
Toronto Central, MS MARGARETTE PAGLIAROLI  ,848357 Ontario Inc.,Responsive Health Management Inc.,For-Profit,Home with approximately 162 beds,Yes,Yes,No,Yes,No,,(416) 536-1116
,,,,,,,,,,,,
North Simcoe Muskoka, Norm Barrette  ,The District Of The Municipality Of Muskoka,Extendicare (Canada) Inc.,Municipal,Home with approximately 160 beds,No,Yes,No,Yes,No,,(705) 645-4488
Champlain, Cameron McCallum (Interim)  ,The Governing Council Of The Salvation Army In Canada,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(613) 722-8025
North Simcoe Muskoka, Ms Tracy Hinks  ,Jarlette Ltd.,,For-Profit,Home with approximately 114 beds,Yes,Yes,No,Yes,No,,(705) 526-4238
Erie St. Clair, MRS TAMMY ROBERTS  ,Schlegel Villages Inc.,,For-Profit,Home with approximately 256 beds,No,No,No,No,No,,(519) 960-1050
Waterloo Wellington, MS CHRIS-ANNE PRESTON  ,Schlegel Villages Inc.,,For-Profit,Home with approximately 192 beds,No,No,No,No,No,,(519) 904-0650
South East, MRS LINDA PIERCE  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 66 beds,No,Yes,Yes,Yes,No,,(613) 388-2693
Erie St. Clair, MS DANA HOULE  ,R-b-j Schlegel Holdings Inc.,,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,No,,(519) 946-2055
Mississauga Halton, M. DENIS ZAFIROVSKI  ,Schlegel Villages Inc.,,For-Profit,Home with approximately 180 beds,No,Yes,Yes,Yes,No,,(905) 569-7155
South West, MS CINDY AWDE  ,The Homewood Corporation,Oakwood Retirement Communities Inc.,For-Profit,Home with approximately 192 beds,No,No,No,Yes,No,,(519) 668-5600
Central, MRS PAULINE DELL'OSO  ,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 192 beds,No,Yes,No,Yes,No,,(416) 235-0201
Waterloo Wellington, MR BRYCE McBAIN  ,Schlegel Villages Inc.,,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,No,,(519) 822-5272
Central West, MS ZOHORA MOHAMMED  ,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,No,,(905) 458-9272
Hamilton Niagara Haldimand Brant (Hnhb), MS RIPU PHULL  ,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 144 beds,No,Yes,Yes,Yes,No,,(905) 336-9904
Central East, MR DANIEL KENNEDY  ,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,No,,(905) 666-3156
Hamilton Niagara Haldimand Brant (Hnhb), MS SARA CALDER  ,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,No,,(905) 575-4735
Waterloo Wellington, MR BRAD LAWRENCE  ,Winston Hall Nursing Homes Limited,,For-Profit,Home with approximately 95 beds,No,Yes,No,Yes,No,,(519) 576-2430
South West, MR DYLAN SUBJECT  ,Hanover Operating Inc.,,For-Profit,Home with approximately 70 beds,No,Yes,Yes,Yes,No,,(519) 364-4320
Hamilton Niagara Haldimand Brant (Hnhb), MS LISA BRENTNALL  ,Barton Retirement Inc.,Southrim Development Inc.,For-Profit,Home with approximately 102 beds,No,Yes,Yes,Yes,No,,(905) 385-2111
North East, Cynthia Desormiers  ,The West Nipissing General Hospital,,Non-Profit,Home with approximately 48 beds,No,Yes,No,Yes,No,,(705) 753-3110
,,,,,,,,,,,,
Central, MS LINDA BURR  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 84 beds,No,Yes,No,Yes,No,,(905) 727-0128
